id,position,name,nombre_cadena,score,ratings,category,price_range,full_address,zip_code,lat,lng,estado,category_list,url_logo
14517,28,Wendy's  (830 North Division),Wendy’s,4.6,165,"American, Burgers, Fast Food",$,"830 North Division, Spokane, WA, 99202",99202,47.6655629,-117.4107011,WA,"'American', 'Burgers', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2020/10/Wendys-logo-tumb.jpg
14518,20,Starbucks (Division &amp; Buckeye),Starbucks,4.9,58,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea",$,"2703 N. Division Street, Spokane, WA, 99207",99207,47.6829041,-117.4117321,WA,"'Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee &amp; Tea'",https://1000marcas.net/wp-content/uploads/2019/12/Starbucks-Logo-tm.jpg
14520,5,McDonald's® (4436 N DIVISION ST),McDonald’s,4.2,200,"American, Burgers, Fast Food",$,"4436 N DIVISION ST, Spokane, WA, 99207",99207,47.698547,-117.41061,WA,"'American', 'Burgers', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
14530,2,Taco Bell (4101 N Market St),Taco Bell,4.4,200,"Burritos, Fast Food, Mexican, Group Friendly",$,"4101 North Market Street, Spokane, WA, 99207",99207,47.69581,-117.36559,WA,"'Burritos', 'Fast Food', 'Mexican', 'Group Friendly'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
14533,73,Dairy Queen (310 W Francis Ave),Dairy Queen,4.5,54,"Ice Cream + Frozen Yogurt, Burgers, Chicken, American",$,"310 W Francis Ave, Spokane, WA, 99208",99208,47.7154261,-117.416251,WA,"'Ice Cream + Frozen Yogurt', 'Burgers', 'Chicken', 'American'",https://1000marcas.net/wp-content/uploads/2021/05/Dairy-Queen-Logo-1.png
14534,98,Subway (6420 N Nevada),Subway,4.4,29,"Fast Food, Sandwich, American",$,"6420 N Nevada, Spokane, WA, 99208",99208,47.7166147,-117.3945113,WA,"'Fast Food', 'Sandwich', 'American'",https://1000marcas.net/wp-content/uploads/2020/03/Subway-Logo-tumb.jpg
14548,27,Taco Bell (6404 N Ash St),Taco Bell,4.6,190,"Burritos, Fast Food, Mexican",$,"6404 N. Ash St.., Spokane, WA, 99208",99208,47.7165083,-117.43588,WA,"'Burritos', 'Fast Food', 'Mexican'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
14553,8,Papa Murphy's (2522 East 29th Avenue),Papa Murphy’s,4.8,43,Pizza,$,"2522 East 29th Avenue, Spokane, WA, 99223",99223,47.6272674,-117.3743937,WA,'Pizza',
14558,14,"Pizza Hut (18810 Meridian Avenue E, Suite 110)",Pizza Hut,4.9,29,"Fast Food, Italian, pizza, wings",$,"18810 Meridian Avenue E, Puyallup, WA, 98375",98375,47.0853399,-122.2944313,WA,"'Fast Food', 'Italian', 'pizza', 'wings'",https://upload.wikimedia.org/wikipedia/commons/5/5d/Pizza_Hut_classic_logo.svg
14560,54,Papa Murphy's  (5604 176th Street East),Papa Murphy’s,4.8,17,Pizza,$,"5604 176th Street East, Puyallup, WA, 98375",98375,47.0958093,-122.3552098,WA,'Pizza',
